"ligand","ligand_cell","receptor","associated_genes","receptor_cell","pathway","score"
"Pgf","FAP_WT","Flt1","Il4ra,Jak1,Itga5,Ppp2r1a,Ppp2r1b,Ppp2r5c,Myc,Cdk2,Cdk4,Ccne1,Trp53","FAP_WT","mmu04151","0.769767175138643"
"Pgf","FAP_WT","Flt1","Comp,Igf1,Jun","EC_WT","mmu04510","0.699864110456736"
"Pgf","EC_WT","Flt1","Spp1,Itgav,Itgb5","EC_WT","mmu04510","0.737592471438322"
"Pgf","EC_WT","Flt1","Rhoa,Myl12b,Mylpf,Bcl2","EC_WT","mmu04510","0.763763992252677"
"Pgf","FAP_WT","Flt1","Rhoa,Myl12b,Mylpf,Bcl2","EC_WT","mmu04510","0.699721632828465"
"Pgf","EC_WT","Flt1","Rhoa,Myl12b,Mylpf,Bcl2","FAP_WT","mmu04510","0.681309440067583"
"Pgf","FAP_WT","Flt1","Rhoa,Myl12b,Mylpf,Bcl2","FAP_WT","mmu04510","0.617362115644784"
"Pgf","EC_WT","Flt1","Runx1,Cd14,Myc,Rel,Plau,Ewsr1,Birc3","EC_WT","mmu05202","0.666964410660527"
"Pgf","FAP_WT","Flt1","Runx1,Cd14,Myc,Rel,Plau,Ewsr1,Birc3","EC_WT","mmu05202","0.628854429486514"
"Pgf","FAP_WT","Flt1","Runx1,Cd14,Myc,Rel,Plau,Ewsr1,Birc3","FAP_WT","mmu05202","0.613034672276728"
"Pgf","EC_WT","Flt1","Bcl6,H3f3b,Igf1,Id2,Nupr1,Dusp6","FAP_WT","mmu05202","0.611413282772695"
"Pgf","EC_WT","Flt1","H2-Aa,H2-Ab1,H2-Eb1,H2-DMa,Tnf,Il1b,Tcirg1,Atp6v0d1,Ccl5,Ccl3","EC_WT","mmu05323","0.717917085583564"
"Pgf","FAP_WT","Flt1","H2-Aa,H2-Ab1,H2-Eb1,H2-DMa,Tnf,Il1b,Tcirg1,Atp6v0d1,Ccl5,Ccl3","EC_WT","mmu05323","0.61846657936231"
"Pgf","EC_WT","Flt1","Atp6v1f,Atp6v1g1,Atp6v0b","FAP_WT","mmu05323","0.904056816158991"
"Pgf","FAP_WT","Flt1","Atp6v1f,Atp6v1g1,Atp6v0b","FAP_WT","mmu05323","0.89629111016244"
"Pgf","FAP_WT","Nrp1","Cxcr4,Dpysl2,Cdk5,Pik3r2","FAP_WT","mmu04360","0.62128641626476"
"Pgf","EC_WT","Nrp1","Tgfb3,Mras,Elk4,Crebbp","EC_WT","mmu05166","0.606983955100909"
"Pgf","EC_WT","Nrp1","Tln1,Ranbp3,H2-Q1,H2-Q7,H2-D1,H2-K1,Gm11127,Gm7030,Stat5a,Tspo,Anapc2,Pold1,Pold2,Pold4,Ccnd3,Akt1,Tnfrsf1a,Rela,Ltbr,Map3k14,Relb,Nfkb2,Srf,Prkaca,Tcf3,Trp53,Bax","FAP_WT","mmu05166","0.606008096130611"
"Pgf","EC_WT","Nrp1","H2-Q10,H2-T9,Il2rg,Pik3cd,Tnf,H2-Aa,H2-Ab1,H2-Eb1,H2-DMa,Adcy3","EC_WT","mmu05166","0.656465702694131"
"Cxcl2","FAP_WT","Cxcr1","Cxcl1,Csf1,Il1rap","FAP_WT","mmu04060","0.808526331534617"
"Cxcl2","EC_WT","Cxcr1","Cxcl2,Cxcl10,Cxcl16,Cxcl14,Ccl2,Ccl4,Ccl3,Ccl7,Ccl5,Ccl8,Ccl9,Clcf1,Tnf,Il1b,Il4ra,Csf2ra,Il2rg,Tnfrsf10b,Tnfrsf1b,Tnfrsf1a,Il17ra","EC_WT","mmu04060","0.696168964163034"
"Cxcl2","EC_WT","Cxcr1","Ccl11,Vegfa,Bmp2,Il1r2","EC_WT","mmu04060","0.765874870841869"
"Cxcl2","FAP_WT","Cxcr1","Ccl11,Vegfa,Bmp2,Il1r2","EC_WT","mmu04060","0.625353588088398"
"Cxcl2","EC_WT","Cxcr1","Cxcl1,Cxcl2,Ccl2,Ccl7,Nras,Nfkbia,Adrbk1","EC_WT","mmu04062","0.723686167654701"
"Cxcl2","FAP_WT","Cxcr1","Cxcl1,Cxcl2,Ccl2,Ccl7,Nras,Nfkbia,Adrbk1","FAP_WT","mmu04062","0.835652058668178"
"Cxcl2","EC_WT","Cxcr1","Cxcl16,Ccl3,Ccl4,Ccl5,Ccl9,Ccl8,Cxcr4,Adcy3,Pik3cd,Nfkbib,Prkcd,Arrb2","EC_WT","mmu04062","0.731118083571566"
"Cxcl2","FAP_WT","Cxcr1","Pik3r2,Gnb5,Gng5,Gng10","FAP_WT","mmu04062","0.628288631662815"
"Cxcl2","EC_WT","Cxcr1","Pik3cd,Fcer1g,Syk,Agpat4,Adcy3","EC_WT","mmu04072","0.801347231702089"
"Cxcl2","FAP_WT","Cxcr1","Tgfb3,Eps15,Adrb2,Hspa1l,Hspa1a,Hspa2,Hspa1b,Vps26a,Chmp1b,Rab5b,Rab22a,Cyth1","FAP_WT","mmu04144","0.625487100018294"
"Cxcl2","EC_WT","Cxcr1","Tfrc,Ap2a2,Bin1,Snx12,H2-Q10","EC_WT","mmu04144","0.673505728809481"
"Cxcl2","EC_WT","Cxcr1","Snx5,Rab31,Arap1","EC_WT","mmu04144","0.638066138575432"
"Cxcl2","FAP_WT","Cxcr2","Cxcl1,Csf1,Il1rap","FAP_WT","mmu04060","0.808526331534617"
"Cxcl2","EC_WT","Cxcr2","Cxcl2,Cxcl10,Cxcl16,Cxcl14,Ccl2,Ccl4,Ccl3,Ccl7,Ccl5,Ccl8,Ccl9,Clcf1,Tnf,Il1b,Il4ra,Csf2ra,Il2rg,Tnfrsf10b,Tnfrsf1b,Tnfrsf1a,Il17ra","EC_WT","mmu04060","0.696168964163034"
"Cxcl2","EC_WT","Cxcr2","Ccl11,Vegfa,Bmp2,Il1r2","EC_WT","mmu04060","0.765874870841869"
"Cxcl2","FAP_WT","Cxcr2","Ccl11,Vegfa,Bmp2,Il1r2","EC_WT","mmu04060","0.625353588088398"
"Cxcl2","EC_WT","Cxcr2","Cxcl1,Cxcl2,Ccl2,Ccl7,Nras,Nfkbia,Adrbk1","EC_WT","mmu04062","0.723686167654701"
"Cxcl2","FAP_WT","Cxcr2","Cxcl1,Cxcl2,Ccl2,Ccl7,Nras,Nfkbia,Adrbk1","FAP_WT","mmu04062","0.835652058668178"
"Cxcl2","EC_WT","Cxcr2","Cxcl16,Ccl3,Ccl4,Ccl5,Ccl9,Ccl8,Cxcr4,Adcy3,Pik3cd,Nfkbib,Prkcd,Arrb2","EC_WT","mmu04062","0.731118083571566"
"Cxcl2","FAP_WT","Cxcr2","Pik3r2,Gnb5,Gng5,Gng10","FAP_WT","mmu04062","0.628288631662815"
"Cxcl2","EC_WT","Cxcr2","Pik3cd,Fcer1g,Syk,Agpat4,Adcy3","EC_WT","mmu04072","0.801347231702089"
"Cxcl2","FAP_WT","Cxcr2","Tgfb3,Eps15,Adrb2,Hspa1l,Hspa1a,Hspa2,Hspa1b,Vps26a,Chmp1b,Rab5b,Rab22a,Cyth1","FAP_WT","mmu04144","0.625487100018294"
"Cxcl2","EC_WT","Cxcr2","Tfrc,Ap2a2,Bin1,Snx12,H2-Q10","EC_WT","mmu04144","0.673505728809481"
"Cxcl2","EC_WT","Cxcr2","Snx5,Rab31,Arap1","EC_WT","mmu04144","0.638066138575432"
"Spp1","EC_WT","Itga5","Actb,H2-Q7,H2-T23,H2-T24,H2-T9,H2-T10,Hgs,Tcirg1,Tap1","FAP_WT","mmu04145","0.610236172990373"
"Spp1","FAP_WT","Itga5","Sec22b,H2-T22,Tubb2a,Tubb2b","FAP_WT","mmu04145","0.636243395978506"
"Spp1","EC_WT","Itga5","H2-Q1,Gm11127,Gm7030,Rab5c,Tfrc,Tuba4a,Tuba1a,Tuba1c,Tuba1b,Tubb4b,Tubb6,Tubb5,Sec61a1,Tap2,Calr,Itga5,Scarb1","FAP_WT","mmu04145","0.661394416730182"
"Spp1","EC_WT","Itga5","H2-Q10,H2-Aa,H2-Ab1,H2-Eb1,H2-DMa,Atp6v1b2,Atp6v0d1,Ctss,Fcgr3,C3,Itgb5,Tlr2,Cd14","EC_WT","mmu04145","0.784332459197076"
"Spp1","EC_WT","Itga5","Atp6v1f,Atp6v1g1,Atp6v0b","FAP_WT","mmu04145","0.800330479886819"
"Spp1","EC_WT","Itga5","Igf1,Comp,Lpar6,Tsc1,Cdkn1b,Foxo3,Creb3l2","EC_WT","mmu04151","0.601233685462876"
"Spp1","FAP_WT","Itga5","Pdgfa,Pdgfrb,Itga7","FAP_WT","mmu04151","0.647340543564091"
"Spp1","EC_WT","Itga5","Vegfa,Pgf,Nras,Tlr2,Syk,Itgav","EC_WT","mmu04151","0.767211428666216"
"Spp1","EC_WT","Itga5","Il2rg,Spp1,Itgb5,Gng2,Bcl2l11,Casp9","EC_WT","mmu04151","0.605433326932604"
"Spp1","FAP_WT","Itga5","Il2rg,Spp1,Itgb5,Gng2,Bcl2l11,Casp9","FAP_WT","mmu04151","0.703544129871812"
"Spp1","EC_WT","Itga5","Il4ra,Jak1,Itga5,Ppp2r1a,Ppp2r1b,Ppp2r5c,Myc,Cdk2,Cdk4,Ccne1,Trp53","FAP_WT","mmu04151","0.680490449734792"
"Spp1","FAP_WT","Itga5","Lamb2,Tnxb,Ppp2r3d","FAP_WT","mmu04151","0.645879402914531"
"Spp1","FAP_WT","Itga5","Itga9,Mtor,Ccnd1,Bcl2l1","FAP_WT","mmu04151","0.634040848440377"
"Spp1","EC_WT","Itga5","Lamb2,Tnxb,Itga6,Itga9,Myl9,Ppp1r12b,Ppp1r12c,Pik3r1,Fyn,Ccnd2","FAP_WT","mmu04510","0.627227632008909"
"Spp1","EC_WT","Itga5","Spp1,Itgav,Itgb5","EC_WT","mmu04510","0.777993690816633"
"Spp1","FAP_WT","Itga5","Spp1,Itgav,Itgb5","FAP_WT","mmu04510","0.727934657204112"
"Spp1","FAP_WT","Itga5","Vtn,Itga7,Pdgfa,Pdgfrb,Shc1","FAP_WT","mmu04510","0.660430646886407"
"Spp1","EC_WT","Itga5","Rhoa,Myl12b,Mylpf,Bcl2","EC_WT","mmu04510","0.648948815804612"
"Spp1","EC_WT","Itga5","Rhoa,Myl12b,Mylpf,Bcl2","FAP_WT","mmu04510","0.607406229631336"
"Spp1","FAP_WT","Itga5","Col1a1,Col1a2,Col6a2,Col6a1,Col6a3,Lama4,Lamb1,Lamc1,Comp,Thbs2,Thbs3,Thbs4,Fn1,Tnc,Itgb1,Dag1","FAP_WT","mmu04512","0.607892090491769"
"Spp1","FAP_WT","Itga5","Lamb2,Tnxb,Itga6,Itga9","FAP_WT","mmu04512","0.676263450672975"
"Spp1","EC_WT","Itga5","Itgav,Cd44,Sdc4,Hmmr","EC_WT","mmu04512","0.694597409356567"
"Spp1","EC_WT","Itga5","Il1b,Tnf,Cd44,Tfrc,Csf2ra,Il3ra,Il4ra,Cd14","EC_WT","mmu04640","0.751567629244849"
"Spp1","EC_WT","Itga5","Csf1,Cd1d1,Itga5","FAP_WT","mmu04640","0.610509933573274"
"Spp1","EC_WT","Itga5","Cd34,Cd9,Itga6","FAP_WT","mmu04640","0.713594507160039"
"Spp1","FAP_WT","Itga5","Pdgfa,Pdgfrb,Itga7,Pip5k1a,Pip4k2c,Arpc1a","FAP_WT","mmu04810","0.642876438229664"
"Spp1","EC_WT","Itga5","Itga6,Itga9,Rras,Pik3r1,Araf,Ppp1r12b,Ppp1r12c,Myl9,Myl12b","FAP_WT","mmu04810","0.642762346508018"
"Spp1","EC_WT","Itga5","Vav3,Mylpf,Tmsb4x","FAP_WT","mmu04810","0.606335768642252"
"Spp1","EC_WT","Itga5","Pik3cd,Arpc4,Mad2l2","EC_WT","mmu05100","0.792633157033763"
"Spp1","EC_WT","Itga5","Wasf2,Dnm2,Ilk","EC_WT","mmu05100","0.638878766443437"
"Spp1","EC_WT","Itga5","Itga5,Cfl1,Myd88,Rela,Mapk3,Gnai2,Nod1","FAP_WT","mmu05133","0.603780580325575"
"Spp1","EC_WT","Itga5","Calm3,Casp7,Tirap,Irak4","FAP_WT","mmu05133","0.618391293614285"
"Spp1","EC_WT","Itga5","Pycard,Il1b,C1qa,C1qc,Cd14,Ticam1,Tnf","EC_WT","mmu05133","0.796418149189774"
"Spp1","EC_WT","Itga5","Cd44,Nras,Tlr2,Mdm2,Plau,Itgav,Sdc4,Hbegf","EC_WT","mmu05205","0.650286645648011"
"Spp1","EC_WT","Itga5","Mras,Gab1,Itpr2,Mmp2,Fas,Fn1,Fzd1,Fzd5,Plcg1,Col1a1,Col1a2","EC_WT","mmu05205","0.689610947850178"
"Spp1","FAP_WT","Itga5","Flnb,Ppp1r12b,Itpr3,Mtor,Tfap4","FAP_WT","mmu05205","0.634444703883675"
"Spp1","EC_WT","Itga5","Pik3cd,Cd63,Tnf,Itgb5","EC_WT","mmu05205","0.758870617361513"
"Spp1","FAP_WT","Itga5","Casp3,Sdc1,Gpc1,Smo","FAP_WT","mmu05205","0.768593308956587"
"Spp1","EC_WT","Itga5","Cdc25a,Cdc25b,Ccne1,Stmn1,Myc,Casp3,Dnmt1,E2f3,Cd44,Itga5,Plau,Tnc,Abcc1,Trp53,E2f1,Ezh2,Cdca5,Kif23,Vim","FAP_WT","mmu05206","0.610636014352745"
"Spp1","FAP_WT","Itga5","Dnmt3a,Crebbp,Abl1,Bmf,Stat3,Notch1,Shc1,Pdgfa,Pdgfrb","FAP_WT","mmu05206","0.656359225990404"
"Spp1","EC_WT","Itga5","Prkab2,Prkag2,Ace,Igf1","FAP_WT","mmu05410","0.703606645400459"
"Spp1","FAP_WT","Itga5","Itgb5,Tcf7l2,Cacnb3","FAP_WT","mmu05412","0.785238855974826"
"Spp1","EC_WT","Itga5","Itga6,Itga9,Adcy9","FAP_WT","mmu05414","0.610344843843266"
"Spp1","FAP_WT","Itga5","Itga6,Itga9,Adcy9","FAP_WT","mmu05414","0.614810480209489"
"Spp1","EC_WT","Itga5","Emd,Lmna,Tnf","EC_WT","mmu05414","0.710123311033823"
"Spp1","EC_WT","Itga9","Igf1,Comp,Lpar6,Tsc1,Cdkn1b,Foxo3,Creb3l2","EC_WT","mmu04151","0.601233685462876"
"Spp1","FAP_WT","Itga9","Pdgfa,Pdgfrb,Itga7","FAP_WT","mmu04151","0.647340543564091"
"Spp1","EC_WT","Itga9","Vegfa,Pgf,Nras,Tlr2,Syk,Itgav","EC_WT","mmu04151","0.767211428666216"
"Spp1","EC_WT","Itga9","Il2rg,Spp1,Itgb5,Gng2,Bcl2l11,Casp9","EC_WT","mmu04151","0.605433326932604"
"Spp1","FAP_WT","Itga9","Il2rg,Spp1,Itgb5,Gng2,Bcl2l11,Casp9","FAP_WT","mmu04151","0.703544129871812"
"Spp1","EC_WT","Itga9","Il4ra,Jak1,Itga5,Ppp2r1a,Ppp2r1b,Ppp2r5c,Myc,Cdk2,Cdk4,Ccne1,Trp53","FAP_WT","mmu04151","0.680490449734792"
"Spp1","FAP_WT","Itga9","Lamb2,Tnxb,Ppp2r3d","FAP_WT","mmu04151","0.645879402914531"
"Spp1","FAP_WT","Itga9","Itga9,Mtor,Ccnd1,Bcl2l1","FAP_WT","mmu04151","0.634040848440377"
"Spp1","EC_WT","Itga9","Lamb2,Tnxb,Itga6,Itga9,Myl9,Ppp1r12b,Ppp1r12c,Pik3r1,Fyn,Ccnd2","FAP_WT","mmu04510","0.627227632008909"
"Spp1","EC_WT","Itga9","Spp1,Itgav,Itgb5","EC_WT","mmu04510","0.777993690816633"
"Spp1","FAP_WT","Itga9","Spp1,Itgav,Itgb5","FAP_WT","mmu04510","0.727934657204112"
"Spp1","FAP_WT","Itga9","Vtn,Itga7,Pdgfa,Pdgfrb,Shc1","FAP_WT","mmu04510","0.660430646886407"
"Spp1","EC_WT","Itga9","Rhoa,Myl12b,Mylpf,Bcl2","EC_WT","mmu04510","0.648948815804612"
"Spp1","EC_WT","Itga9","Rhoa,Myl12b,Mylpf,Bcl2","FAP_WT","mmu04510","0.607406229631336"
"Spp1","FAP_WT","Itga9","Col1a1,Col1a2,Col6a2,Col6a1,Col6a3,Lama4,Lamb1,Lamc1,Comp,Thbs2,Thbs3,Thbs4,Fn1,Tnc,Itgb1,Dag1","FAP_WT","mmu04512","0.607892090491769"
"Spp1","FAP_WT","Itga9","Lamb2,Tnxb,Itga6,Itga9","FAP_WT","mmu04512","0.676263450672975"
"Spp1","EC_WT","Itga9","Itgav,Cd44,Sdc4,Hmmr","EC_WT","mmu04512","0.694597409356567"
"Spp1","FAP_WT","Itga9","H2-Q1,H2-T22,H2-T23,H2-D1,H2-K1,Gm11127,Gm7030,Sdc1,Sdc3","FAP_WT","mmu04514","0.630790229026437"
"Spp1","FAP_WT","Itga9","H2-Q4,Itgb1,Vcam1,Glg1","FAP_WT","mmu04514","0.673396976334859"
"Spp1","EC_WT","Itga9","Pvr,Sdc4,Itgav,Vcan","EC_WT","mmu04514","0.650548189632589"
"Spp1","FAP_WT","Itga9","Pdgfa,Pdgfrb,Itga7,Pip5k1a,Pip4k2c,Arpc1a","FAP_WT","mmu04810","0.642876438229664"
"Spp1","EC_WT","Itga9","Itga6,Itga9,Rras,Pik3r1,Araf,Ppp1r12b,Ppp1r12c,Myl9,Myl12b","FAP_WT","mmu04810","0.642762346508018"
"Spp1","EC_WT","Itga9","Vav3,Mylpf,Tmsb4x","FAP_WT","mmu04810","0.606335768642252"
"Spp1","EC_WT","Itga9","Prkab2,Prkag2,Ace,Igf1","FAP_WT","mmu05410","0.703606645400459"
"Spp1","FAP_WT","Itga9","Itgb5,Tcf7l2,Cacnb3","FAP_WT","mmu05412","0.785238855974826"
"Spp1","EC_WT","Itga9","Itga6,Itga9,Adcy9","FAP_WT","mmu05414","0.610344843843266"
"Spp1","FAP_WT","Itga9","Itga6,Itga9,Adcy9","FAP_WT","mmu05414","0.614810480209489"
"Spp1","EC_WT","Itga9","Emd,Lmna,Tnf","EC_WT","mmu05414","0.710123311033823"
"Spp1","EC_WT","Itgav","Actb,H2-Q7,H2-T23,H2-T24,H2-T9,H2-T10,Hgs,Tcirg1,Tap1","FAP_WT","mmu04145","0.610236172990373"
"Spp1","FAP_WT","Itgav","Sec22b,H2-T22,Tubb2a,Tubb2b","FAP_WT","mmu04145","0.636243395978506"
"Spp1","EC_WT","Itgav","H2-Q1,Gm11127,Gm7030,Rab5c,Tfrc,Tuba4a,Tuba1a,Tuba1c,Tuba1b,Tubb4b,Tubb6,Tubb5,Sec61a1,Tap2,Calr,Itga5,Scarb1","FAP_WT","mmu04145","0.661394416730182"
"Spp1","EC_WT","Itgav","H2-Q10,H2-Aa,H2-Ab1,H2-Eb1,H2-DMa,Atp6v1b2,Atp6v0d1,Ctss,Fcgr3,C3,Itgb5,Tlr2,Cd14","EC_WT","mmu04145","0.784332459197076"
"Spp1","EC_WT","Itgav","Atp6v1f,Atp6v1g1,Atp6v0b","FAP_WT","mmu04145","0.800330479886819"
"Spp1","EC_WT","Itgav","Igf1,Comp,Lpar6,Tsc1,Cdkn1b,Foxo3,Creb3l2","EC_WT","mmu04151","0.601233685462876"
"Spp1","FAP_WT","Itgav","Pdgfa,Pdgfrb,Itga7","FAP_WT","mmu04151","0.647340543564091"
"Spp1","EC_WT","Itgav","Vegfa,Pgf,Nras,Tlr2,Syk,Itgav","EC_WT","mmu04151","0.767211428666216"
"Spp1","EC_WT","Itgav","Il2rg,Spp1,Itgb5,Gng2,Bcl2l11,Casp9","EC_WT","mmu04151","0.605433326932604"
"Spp1","FAP_WT","Itgav","Il2rg,Spp1,Itgb5,Gng2,Bcl2l11,Casp9","FAP_WT","mmu04151","0.703544129871812"
"Spp1","EC_WT","Itgav","Il4ra,Jak1,Itga5,Ppp2r1a,Ppp2r1b,Ppp2r5c,Myc,Cdk2,Cdk4,Ccne1,Trp53","FAP_WT","mmu04151","0.680490449734792"
"Spp1","FAP_WT","Itgav","Lamb2,Tnxb,Ppp2r3d","FAP_WT","mmu04151","0.645879402914531"
"Spp1","FAP_WT","Itgav","Itga9,Mtor,Ccnd1,Bcl2l1","FAP_WT","mmu04151","0.634040848440377"
"Spp1","EC_WT","Itgav","Lamb2,Tnxb,Itga6,Itga9,Myl9,Ppp1r12b,Ppp1r12c,Pik3r1,Fyn,Ccnd2","FAP_WT","mmu04510","0.627227632008909"
"Spp1","EC_WT","Itgav","Spp1,Itgav,Itgb5","EC_WT","mmu04510","0.777993690816633"
"Spp1","FAP_WT","Itgav","Spp1,Itgav,Itgb5","FAP_WT","mmu04510","0.727934657204112"
"Spp1","FAP_WT","Itgav","Vtn,Itga7,Pdgfa,Pdgfrb,Shc1","FAP_WT","mmu04510","0.660430646886407"
"Spp1","EC_WT","Itgav","Rhoa,Myl12b,Mylpf,Bcl2","EC_WT","mmu04510","0.648948815804612"
"Spp1","EC_WT","Itgav","Rhoa,Myl12b,Mylpf,Bcl2","FAP_WT","mmu04510","0.607406229631336"
"Spp1","FAP_WT","Itgav","Col1a1,Col1a2,Col6a2,Col6a1,Col6a3,Lama4,Lamb1,Lamc1,Comp,Thbs2,Thbs3,Thbs4,Fn1,Tnc,Itgb1,Dag1","FAP_WT","mmu04512","0.607892090491769"
"Spp1","FAP_WT","Itgav","Lamb2,Tnxb,Itga6,Itga9","FAP_WT","mmu04512","0.676263450672975"
"Spp1","EC_WT","Itgav","Itgav,Cd44,Sdc4,Hmmr","EC_WT","mmu04512","0.694597409356567"
"Spp1","FAP_WT","Itgav","H2-Q1,H2-T22,H2-T23,H2-D1,H2-K1,Gm11127,Gm7030,Sdc1,Sdc3","FAP_WT","mmu04514","0.630790229026437"
"Spp1","FAP_WT","Itgav","H2-Q4,Itgb1,Vcam1,Glg1","FAP_WT","mmu04514","0.673396976334859"
"Spp1","EC_WT","Itgav","Pvr,Sdc4,Itgav,Vcan","EC_WT","mmu04514","0.650548189632589"
"Spp1","FAP_WT","Itgav","Pdgfa,Pdgfrb,Itga7,Pip5k1a,Pip4k2c,Arpc1a","FAP_WT","mmu04810","0.642876438229664"
"Spp1","EC_WT","Itgav","Itga6,Itga9,Rras,Pik3r1,Araf,Ppp1r12b,Ppp1r12c,Myl9,Myl12b","FAP_WT","mmu04810","0.642762346508018"
"Spp1","EC_WT","Itgav","Vav3,Mylpf,Tmsb4x","FAP_WT","mmu04810","0.606335768642252"
"Spp1","EC_WT","Itgav","Prkaca,Mapk3,Trp53,Rxra,Kat2a,Med16,Med24,Slc9a1,Akt1,Actb","FAP_WT","mmu04919","0.630212761822705"
"Spp1","EC_WT","Itgav","Kras,Hdac2,Atp1b1,Rheb","FAP_WT","mmu04919","0.650788133717715"
"Spp1","EC_WT","Itgav","Thra,Ncoa1,Plcg1,Foxo1","EC_WT","mmu04919","0.660986954768022"
"Spp1","FAP_WT","Itgav","Med27,Atp1b3,Mtor","FAP_WT","mmu04919","0.722532880344109"
"Spp1","EC_WT","Itgav","Birc5,Stat1,Cdk4,Tpm3,E2f1,Cks1b,Cks2,Skp2,Ccne1,Hdac1,Mlh1,Msh2,Msh6,Rad51,Casp8,Fh1","FAP_WT","mmu05200","0.670467364675501"
"Spp1","EC_WT","Itgav","Lpar6,Itga6,Pik3r1,Foxo1,Cdkn1b","EC_WT","mmu05200","0.602449359962148"
"Spp1","EC_WT","Itgav","Lpar6,Itga6,Pik3r1,Foxo1,Cdkn1b","FAP_WT","mmu05200","0.627357407279872"
"Spp1","EC_WT","Itgav","Cxcr4,Adcy3,Pik3cd,Stat5a,Runx1,Cebpa,Csf2ra,Bid","EC_WT","mmu05200","0.664879061495049"
"Spp1","FAP_WT","Itgav","Adcy9,Lamb2,Bcl2l1,Mtor","FAP_WT","mmu05200","0.735099509714871"
"Spp1","EC_WT","Itgav","Gng11,Gngt2,Bcl2,Rala","FAP_WT","mmu05200","0.737229897309964"
"Spp1","EC_WT","Itgav","Pgf,Stk4,Bmp2","EC_WT","mmu05200","0.67484387397892"
"Spp1","EC_WT","Itgav","Pgf,Stk4,Bmp2","FAP_WT","mmu05200","0.653335508064281"
"Spp1","EC_WT","Itgav","Cd44,Nras,Tlr2,Mdm2,Plau,Itgav,Sdc4,Hbegf","EC_WT","mmu05205","0.650286645648011"
"Spp1","EC_WT","Itgav","Mras,Gab1,Itpr2,Mmp2,Fas,Fn1,Fzd1,Fzd5,Plcg1,Col1a1,Col1a2","EC_WT","mmu05205","0.689610947850178"
"Spp1","FAP_WT","Itgav","Flnb,Ppp1r12b,Itpr3,Mtor,Tfap4","FAP_WT","mmu05205","0.634444703883675"
"Spp1","EC_WT","Itgav","Pik3cd,Cd63,Tnf,Itgb5","EC_WT","mmu05205","0.758870617361513"
"Spp1","FAP_WT","Itgav","Casp3,Sdc1,Gpc1,Smo","FAP_WT","mmu05205","0.768593308956587"
"Spp1","EC_WT","Itgav","Rxra,Trp53,Cdk2,E2f3,Akt1,Rela,Traf2,Traf4","FAP_WT","mmu05222","0.702472713713853"
"Spp1","EC_WT","Itgav","Bcl2,Lamb2,Bcl2l1","EC_WT","mmu05222","0.644554886087514"
"Spp1","FAP_WT","Itgav","Bcl2,Lamb2,Bcl2l1","FAP_WT","mmu05222","0.714817149118764"
"Spp1","EC_WT","Itgav","Cycs,Cdk4,Ccnd1,Cks1b,Cks2,Skp2,Ccne1,E2f1","FAP_WT","mmu05222","0.613247325392559"
"Spp1","FAP_WT","Itgav","Casp9,Pik3r2,Akt2","EC_WT","mmu05222","0.611411377478624"
"Spp1","EC_WT","Itgav","Prkab2,Prkag2,Ace,Igf1","FAP_WT","mmu05410","0.703606645400459"
"Spp1","FAP_WT","Itgav","Itgb5,Tcf7l2,Cacnb3","FAP_WT","mmu05412","0.785238855974826"
"Spp1","EC_WT","Itgav","Itga6,Itga9,Adcy9","FAP_WT","mmu05414","0.610344843843266"
"Spp1","FAP_WT","Itgav","Itga6,Itga9,Adcy9","FAP_WT","mmu05414","0.614810480209489"
"Spp1","EC_WT","Itgav","Emd,Lmna,Tnf","EC_WT","mmu05414","0.710123311033823"
"Spp1","EC_WT","Itgb1","Rap1a,Rap1b,Calm2,Rala,Cdc42,Prkci,Kras","FAP_WT","mmu04015","0.6252235336779"
"Spp1","FAP_WT","Itgb1","Calm1,Rhoa,Map2k6","FAP_WT","mmu04015","0.601969899034684"
"Spp1","EC_WT","Itgb1","Calm3,Pfn1,Pard6a,Map2k2,Akt1","FAP_WT","mmu04015","0.672219030794761"
"Spp1","EC_WT","Itgb1","Adcy3,Apbb1ip,Pik3cd","EC_WT","mmu04015","0.79023514631855"
"Spp1","FAP_WT","Itgb1","Adcy9,Rapgef1,Sipa1,Sipa1l2,Id1","FAP_WT","mmu04015","0.661871065298149"
"Spp1","EC_WT","Itgb1","Actb,H2-Q7,H2-T23,H2-T24,H2-T9,H2-T10,Hgs,Tcirg1,Tap1","FAP_WT","mmu04145","0.610236172990373"
"Spp1","FAP_WT","Itgb1","Sec22b,H2-T22,Tubb2a,Tubb2b","FAP_WT","mmu04145","0.636243395978506"
"Spp1","EC_WT","Itgb1","H2-Q1,Gm11127,Gm7030,Rab5c,Tfrc,Tuba4a,Tuba1a,Tuba1c,Tuba1b,Tubb4b,Tubb6,Tubb5,Sec61a1,Tap2,Calr,Itga5,Scarb1","FAP_WT","mmu04145","0.661394416730182"
"Spp1","EC_WT","Itgb1","H2-Q10,H2-Aa,H2-Ab1,H2-Eb1,H2-DMa,Atp6v1b2,Atp6v0d1,Ctss,Fcgr3,C3,Itgb5,Tlr2,Cd14","EC_WT","mmu04145","0.784332459197076"
"Spp1","EC_WT","Itgb1","Atp6v1f,Atp6v1g1,Atp6v0b","FAP_WT","mmu04145","0.800330479886819"
