"ligand","ligand_cell","receptor","associated_genes","receptor_cell","pathway","score"
"BC096441","EC_WT","Tnfrsf1a","Tlr2,C3,Ifngr2","EC_WT","mmu05168","0.671860781632179"
"BC096441","EC_WT","Tnfrsf25","Ccl11,Vegfa,Bmp2,Il1r2","EC_WT","mmu04060","0.669736831521355"
"BC096441","FAP_WT","Tnfrsf25","Il6,Kitl,Il13ra1,Il15ra,Tnfrsf12a,Fas,Tgfbr1,Acvr2a,Bmpr2","FAP_WT","mmu04060","0.647229088465433"
"BC096441","FAP_WT","Tnfrsf25","Pdgfa,Tnfsf9,Ifngr2","EC_WT","mmu04060","0.623793219761517"
"BC096441","EC_WT","Tnfrsf25","Tnfsf13,Cxcr4,Tnfrsf14","EC_WT","mmu04060","0.678408145424642"
"Igf1","FAP_WT","Igf1r","Prkaca,Calm3,Rasa3,Pak4,Pik3cd,Akt1,Bad,Map2k2,Pla2g6","FAP_WT","mmu04014","0.622506573184242"
"Igf1","FAP_WT","Igf1r","Calm3,Pfn1,Pard6a,Map2k2,Akt1","FAP_WT","mmu04015","0.692797566066369"
"Igf1","FAP_WT","Igf1r","Adcy3,Apbb1ip,Pik3cd","EC_WT","mmu04015","0.703669383803393"
"Igf1","FAP_WT","Igf1r","Plcb3,Csf1,Sipa1l3,Actb","FAP_WT","mmu04015","0.742595960057594"
"Igf1","FAP_WT","Igf1r","Ifngr1,Insr,Pik3r1,Akt3,Ep300,Plcg1,Camk2g,Cdkn1b","FAP_WT","mmu04066","0.633816756661383"
"Igf1","FAP_WT","Igf1r","Rela,Map2k2,Akt1,Eif4ebp1,Tceb2,Egln2,Gapdh,Eno1,Aldoa,Pfkl","FAP_WT","mmu04066","0.656758757399058"
"Igf1","FAP_WT","Igf1r","Igf1,Mknk1,Arnt,Camk2d,Hmox1","FAP_WT","mmu04066","0.707609061741421"
"Igf1","FAP_WT","Igf1r","Timp1,Tfrc,Ldha,Pgk1","FAP_WT","mmu04066","0.738304797390418"
