"receptor" "pathway_id" "genes_in_cluster"
"Lifr" "mmu04060" "Cxcl2,Cxcl10,Cxcl16,Cxcl14,Ccl2,Ccl4,Ccl3,Ccl7,Ccl5,Ccl8,Ccl9,Clcf1,Tnf,Il1b,Il4ra,Csf2ra,Il2rg,Tnfrsf10b,Tnfrsf1b,Tnfrsf1a,Il17ra"
"Lifr" "mmu04060" "Cxcl12,Il6st,Pdgfrb,Acvr1b"
"Lifr" "mmu04060" "Ccl11,Vegfa,Bmp2,Il1r2"
"Lifr" "mmu04060" "Ccl27a,Vegfb,Flt3l,Tgfb1,Il11ra1,Ifnar2,Il10rb,Tnfrsf21"
"Lifr" "mmu04060" "Il6,Kitl,Il13ra1,Il15ra,Tnfrsf12a,Fas,Tgfbr1,Acvr2a,Bmpr2"
"Lifr" "mmu04060" "Pdgfa,Tnfsf9,Ifngr2"
"Lifr" "mmu04060" "Tnfsf12,Il3ra,Crlf2,Ltbr"
"Lifr" "mmu04060" "Tnfsf13,Cxcr4,Tnfrsf14"
"Lifr" "mmu04060" "Tgfb3,Lifr,Ifnar1,Ifngr1,Tgfbr2,Acvr1"
"Lifr" "mmu04550" "Lifr,Smad3,Acvr1,Fzd7,Dvl3,Igf1,Jarid2,Pcgf2"
"Lifr" "mmu04550" "Il6st,Stat3,Klf4,Pik3ca,Pik3r1,Akt3,Acvr1b,Acvr2a,Bmpr2,Smad5,Smad4,Fzd1,Fzd5,Gsk3b,Apc,Ctnnb1,Fgfr1,Kras,Igf1r,Skil,Smarcad1,Kat6a,Rest,Rif1,Pcgf3,Bmi1"
"Lifr" "mmu04550" "Jak1,Jak2,Myc,Mapk1,Nras,Raf1,Setdb1,Pcgf5,Pcgf6"
"Lifr" "mmu04550" "Map2k1,Id3,Dvl1,Axin1"
"Lifr" "mmu04550" "Map2k2,Mapk3,Akt1,Tcf3"
"Lifr" "mmu04550" "Pik3r2,Akt2,Pcgf1"
"Lifr" "mmu04550" "Smad2,Smad1,Mapk14"
"Lifr" "mmu04630" "Il6,Il15ra,Socs3,Socs5,Socs6,Mcl1,Stam,Ptpn2,Ptpn11,Raf1"
"Lifr" "mmu04630" "Tslp,Ifnar2,Stat5b,Pias1,Pik3r2"
"Lifr" "mmu04630" "Il2rg,Il3ra,Crlf2,Csf2ra,Stat5a,Pik3cd,Akt1"
"Lifr" "mmu04630" "Il4ra,Ifngr2,Pim1"
"Lifr" "mmu04630" "Il10rb,Il11ra1,Bcl2"
"Lifr" "mmu04630" "Il13ra1,Il6st,Ifnar1,Jak1,Jak2,Stat1,Stat2,Stat3,Myc,Stam2,Irf9"
"Lifr" "mmu04630" "Ifngr1,Lifr,Socs2,Socs4,Ep300,Pias2,Fhl1,Sos1,Sos2,Pik3ca,Pik3r1,Akt3"
"Lifr" "mmu04630" "Tyk2,Crebbp,Pias3,Grb2"
"Lifr" "mmu04630" "Stat6,Socs7,Bcl2l1,Ccnd1,Ccnd2,Mtor"
"Lifr" "mmu04630" "Cish,Socs1,Ccnd3,Cdkn1a,Pias4"
"Osmr" "mmu04060" "Cxcl1,Csf1,Il1rap"
"Osmr" "mmu04060" "Cxcl2,Cxcl10,Cxcl16,Cxcl14,Ccl2,Ccl4,Ccl3,Ccl7,Ccl5,Ccl8,Ccl9,Clcf1,Tnf,Il1b,Il4ra,Csf2ra,Il2rg,Tnfrsf10b,Tnfrsf1b,Tnfrsf1a,Il17ra"
"Osmr" "mmu04060" "Cxcl12,Il6st,Pdgfrb,Acvr1b"
"Osmr" "mmu04060" "Ccl11,Vegfa,Bmp2,Il1r2"
"Osmr" "mmu04060" "Ccl27a,Vegfb,Flt3l,Tgfb1,Il11ra1,Ifnar2,Il10rb,Tnfrsf21"
"Osmr" "mmu04060" "Il6,Kitl,Il13ra1,Il15ra,Tnfrsf12a,Fas,Tgfbr1,Acvr2a,Bmpr2"
"Osmr" "mmu04060" "Pdgfa,Tnfsf9,Ifngr2"
"Osmr" "mmu04060" "Tnfsf12,Il3ra,Crlf2,Ltbr"
"Osmr" "mmu04060" "Tnfsf13,Cxcr4,Tnfrsf14"
"Osmr" "mmu04060" "Tgfb3,Lifr,Ifnar1,Ifngr1,Tgfbr2,Acvr1"
"Osmr" "mmu04151" "Igf1,Comp,Lpar6,Tsc1,Cdkn1b,Foxo3,Creb3l2"
"Osmr" "mmu04151" "Pdgfa,Pdgfrb,Itga7"
"Osmr" "mmu04151" "Kitl,Insr,Sos1,Sos2,Kras,Raf1,Map2k1,Mapk1,Tlr4,Rac1,Il6,Jak2,Col4a1,Col4a2,Thbs1,Itga6,Itgb1,Ptk2,Gnb1,Gng12,Pdpk1,Prkaa1,Rps6kb1,Pkn2,Sgk1,Akt3,Pten,Ppp2cb,Hsp90aa1,Hsp90ab1,Hsp90b1,Crtc2,Phlpp1,Phlpp2,Gsk3b,Ccnd2,Ywhaz,Ywhab,Creb1,Atf2,Atf4,Nr4a1,Chuk,Nfkb1,Mdm2,Pik3ca,Pik3r1"
"Osmr" "mmu04151" "Vegfa,Pgf,Nras,Tlr2,Syk,Itgav"
"Osmr" "mmu04151" "Vegfb,Gnb5,Gng5,Creb3l1,Pik3r2"
"Osmr" "mmu04151" "Fgfr1,Ifnar1,Col1a1,Col1a2,Col6a2,Col6a1,Col6a3,Lama4,Lamb1,Lamc1,Thbs2,Thbs3,Thbs4,Fn1,Vtn,Tnc,F2r,Gnb4,Gng11,Eif4b,Ppp2r5a,Rbl2,Creb3,Ikbkg,Ikbkb"
"Osmr" "mmu04151" "Grb2,Map2k2,Mapk3,Il3ra,Gnb2,Stk11,Ddit4,Rptor,Eif4ebp1,Pkn1,Akt1,Ppp2r5b,G6pc3,Cdkn1a,Ccnd3,Bad,Atf6b,Rxra,Rela"
"Osmr" "mmu04151" "Il2rg,Spp1,Itgb5,Gng2,Bcl2l11,Casp9"
"Osmr" "mmu04151" "Il4ra,Jak1,Itga5,Ppp2r1a,Ppp2r1b,Ppp2r5c,Myc,Cdk2,Cdk4,Ccne1,Trp53"
"Osmr" "mmu04151" "Ifnar2,Mlst8,Eif4e2,Rps6,Ppp2r5d,Cdc37,Gys1,Pck2,Ywhae,Pik3cd"
"Osmr" "mmu04151" "Lamb2,Tnxb,Ppp2r3d"
"Osmr" "mmu04151" "Itga9,Mtor,Ccnd1,Bcl2l1"
"Osmr" "mmu04151" "Gng10,Gngt2,Akt2,Them4"
"Osmr" "mmu04151" "Rheb,Eif4e,Ppp2ca,Ppp2r2d,Ppp2r2a,Ppp2r3c,Ppp2r5e,Mtcp1,Ywhaq,Ywhah,Bcl2,Mcl1"
"Osmr" "mmu04630" "Il6,Il15ra,Socs3,Socs5,Socs6,Mcl1,Stam,Ptpn2,Ptpn11,Raf1"
"Osmr" "mmu04630" "Tslp,Ifnar2,Stat5b,Pias1,Pik3r2"
"Osmr" "mmu04630" "Il2rg,Il3ra,Crlf2,Csf2ra,Stat5a,Pik3cd,Akt1"
"Osmr" "mmu04630" "Il4ra,Ifngr2,Pim1"
"Osmr" "mmu04630" "Il10rb,Il11ra1,Bcl2"
"Osmr" "mmu04630" "Il13ra1,Il6st,Ifnar1,Jak1,Jak2,Stat1,Stat2,Stat3,Myc,Stam2,Irf9"
"Osmr" "mmu04630" "Ifngr1,Lifr,Socs2,Socs4,Ep300,Pias2,Fhl1,Sos1,Sos2,Pik3ca,Pik3r1,Akt3"
"Osmr" "mmu04630" "Tyk2,Crebbp,Pias3,Grb2"
