pathName	score/relevance	genes
Oocyte meiosis	29.3543267290062	Calm1;Calm2;Calm3;Itpr1;Itpr2;Itpr3;Calm1;Calm2;Calm3;Ppp3ca;Ppp3cb;Ppp3cc;Ppp3r1;Anapc1;Anapc10;Anapc11;Anapc13;Anapc2;Anapc4;Anapc5;Anapc7;Ccne1;Ccne2;Cdc16;Cdc20;Cdc23;Cdc26;Cdc27;Cdk2;Mad2l1;Mad2l2;Ppp3ca;Ppp3cb;Ppp3cc;Ppp3r1;Anapc1;Anapc10;Anapc11;Anapc13;Anapc2;Anapc4;Anapc5;Anapc7;Cdc16;Cdc20;Cdc23;Cdc26;Cdc27;Pttg1;Anapc1;Anapc10;Anapc11;Anapc13;Anapc2;Anapc4;Anapc5;Anapc7;Ccnb1;Ccnb2;Cdc16;Cdc20;Cdc23;Cdc26;Cdc27;Cdk1;Aurka;Ccnb2;Cdk1;Cpeb1;Plk1;Aurka;Ccnb2;Cdk1;Cpeb2;Plk1;Aurka;Ccnb2;Cdk1;Cpeb4;Plk1;Ccnb2;Cdk1;Plk1;Slk
FoxO signaling pathway	29.1347692055401	Igf1r;Insr;Irs1;Irs2;Homer1;Homer3;Irs1;Irs2;Pik3ca;Pik3r1;Pik3r2;Pik3r3;Pdpk1;Pik3ca;Pik3r1;Pik3r2;Pik3r3;Pten;Chuk;Ikbkb;Pdpk1;Pten;Akt1;Akt2;Akt3;Chuk;Ikbkb;Pdpk1;Sgk1;Akt1;Akt2;Akt3;Cdk2;Chuk;Csnk1e;Foxo1;Foxo3;Foxo4;Ikbkb;Mapk1;Mapk12;Mapk14;Mapk3;Mapk8;Mapk9;Prkaa1;Prkab1;Prkag1;Prkag2;Prmt1;Setd7;Sgk1;Stat3;Stk11;Stk4;Il6;Stat3
Hippo signaling pathway.Wnt9a-1;28	28.8390517077419	Fzd1;Fzd2;Fzd4;Fzd5;Fzd7;Fzd8;Wnt11;Wnt5a;Wnt9a;Csnk1d;Csnk1e;Dvl1;Dvl2;Dvl3;Fzd1;Fzd2;Fzd4;Fzd5;Fzd7;Fzd8;Csnk1d;Csnk1e;Dvl1;Dvl2;Dvl3;Tcf7l1;Tcf7l2;Tead1;Tead2;Tead3;Wwtr1;Yap1;Ywhab;Ywhae;Ywhag;Ywhah;Ywhaq;Ywhaz;Amot;Btrc;Csnk1d;Csnk1e;Dlg1;Dlg3;Dlg4;Fbxw11;Lats1;Lats2;Llgl1;Ppp1ca;Ppp1cb;Ppp1cc;Ppp2ca;Ppp2cb;Ppp2r1a;Ppp2r1b;Ppp2r2a;Ppp2r2d;Scrib;Smad1;Smad2;Smad3;Smad4;Smad7;Tcf7l1;Tcf7l2;Tead1;Tead2;Tead3;Trp53bp2;Wwtr1;Yap1;Ywhab;Ywhae;Ywhag;Ywhah;Ywhaq;Ywhaz;Lats1;Lats2;Ppp2ca;Ppp2cb;Ppp2r1a;Ppp2r1b;Ppp2r2a;Ppp2r2d;Stk3;Ajuba;Lats1;Lats2;Limd1;Stk3;Wtip;Mob1a;Stk3;Mob1b;Stk3
Thyroid hormone signaling pathway.Pdpk1-1;39	28.1090854506577	Akt1;Akt2;Akt3;Pdpk1;Pik3ca;Pik3r1;Pik3r2;Pik3r3;Akt1;Akt2;Akt3;Pik3ca;Pik3r1;Pik3r2;Pik3r3;Thra;Crebbp;Ep300;Hdac1;Hdac2;Hdac3;Kat2a;Kat2b;Med1;Med12;Med13;Med13l;Med14;Med16;Med17;Med24;Med27;Med30;Med4;Ncoa1;Ncoa2;Ncoa3;Ncor1;Pik3ca;Pik3r1;Pik3r2;Pik3r3;Rxra;Rxrb;Sin3a;Thra;Hif1a;Pik3ca;Pik3r1;Pik3r2;Pik3r3;Hif1a;Slc2a1;Hif1a;Pfkp
HTLV-I infection.Wnt11-1;24	26.6649694551524	Fzd1;Fzd2;Fzd4;Fzd5;Fzd7;Fzd8;Wnt11;Wnt5a;Wnt9a;Dvl1;Dvl2;Dvl3;Fzd1;Fzd2;Fzd4;Fzd5;Fzd7;Fzd8;Akt1;Akt2;Akt3;Dvl1;Dvl2;Dvl3;Gsk3b;Akt1;Akt2;Akt3;Pik3ca;Pik3r1;Pik3r2;Pik3r3;Akt1;Akt2;Akt3;Chuk;Ikbkb;Ikbkg;Map3k14;Map3k3;Chuk;Ikbkb;Nfkbia;Chuk;Nfkb2;Chuk;Relb
cAMP signaling pathway.Rras2-1;5	26.5208757344094	Plce1;Rap1a;Rap1b;Rras;Rras2;Pik3ca;Pik3r1;Pik3r2;Pik3r3;Rap1a;Rap1b;Akt1;Pik3ca;Pik3r1;Pik3r2;Pik3r3;Akt2;Pik3ca;Pik3r1;Pik3r2;Pik3r3;Akt3;Pik3ca;Pik3r1;Pik3r2;Pik3r3
cGMP-PKG signaling pathway.Insr-1;5	26.122445299685	Insr;Irs1;Irs2;Gnai2;Gnai3;Irs1;Irs2;Pik3ca;Pik3r1;Pik3r2;Pik3r3;Akt1;Pik3ca;Pik3r1;Pik3r2;Pik3r3;Akt3;Pik3ca;Pik3r1;Pik3r2;Pik3r3;Akt2;Pik3ca;Pik3r1;Pik3r2;Pik3r3
Insulin resistance	25.8483548853234	Mlxip;Ogt;Ikbkb;Insr;Irs2;Mapk8;Mapk9;Ogt;Socs3;Srebf1;Ikbkb;Insr;Irs1;Irs2;Mapk8;Mapk9;Ogt;Socs3;Insr;Irs1;Irs2;Ogt;Pik3ca;Pik3r1;Pik3r2;Pik3r3;Insr;Ogt;Pdpk1;Pik3ca;Pik3r1;Pik3r2;Pik3r3;Ogt;Pdpk1;Pik3ca;Pik3r1;Pik3r2;Pik3r3;Pten
Prostate cancer	25.7549760405538	Ccne1;Ccne2;Cdk2;E2f1;E2f3;Rb1;Ccne1;Ccne2;Cdk2;Cdkn1b;Akt1;Akt2;Akt3;Cdkn1b;Akt1;Akt2;Akt3;Pdpk1;Pik3ca;Pik3r1;Pik3r2;Pik3r3;Pten;Akt1;Akt2;Akt3;Crebbp;Ep300;Gsk3b;Pik3ca;Pik3r1;Pik3r2;Pik3r3;Atf4;Creb1;Creb3;Creb3l1;Creb3l2;Creb5;Crebbp;Ctnnb1;Ep300;Gsk3b;Ctnnb1;Tcf7l1;Tcf7l2
Focal adhesion.Comp-1;7	25.136896388822	Actn1;Actn4;Chad;Col11a1;Col1a1;Col1a2;Col24a1;Col27a1;Col3a1;Col4a1;Col4a2;Col4a5;Col5a1;Col5a2;Col5a3;Col6a1;Col6a2;Col6a3;Col6a6;Comp;Flna;Flnb;Flnc;Fn1;Itga1;Itga11;Itga5;Itga7;Itga9;Itgav;Itgb1;Itgb3;Itgb5;Lama2;Lama4;Lamb1;Lamb2;Lamc1;Lamc2;Parva;Pxn;Spp1;Thbs1;Thbs2;Thbs3;Thbs4;Tln1;Tln2;Tnc;Tnn;Tnxb;Vasp;Vtn;Actn1;Actn4;Cdc42;Diap1;Itgb1;Itgb3;Itgb5;Myl12a;Myl12b;Myl9;Parva;Pip5k1c;Ptk2;Pxn;Rac1;Tln1;Tln2;Vasp;Actn1;Actn4;Cdc42;Diap1;Myl12a;Myl12b;Myl9;Parva;Pip5k1c;Ptk2;Pxn;Rac1;Tln1;Tln2;Vasp;Vcl;Actn1;Actn4;Cdc42;Diap1;Myl12a;Myl12b;Myl9;Parva;Pip5k1c;Pxn;Rac1;Vasp;Vcl;Zyx;Actb;Cdc42;Diap1;Myl12a;Myl12b;Myl9;Parva;Pip5k1c;Pxn;Rac1;Vasp;Vcl;Zyx;Actg1;Cdc42;Diap1;Myl12a;Myl12b;Myl9;Parva;Pip5k1c;Pxn;Rac1;Vasp;Vcl;Zyx
