ligand_symbol	receptor_symbol
Adm	Calcrl
Angpt1	Tek
Angpt4	Tek
Areg	Egfr
Artn	Gfra3
Avp	Avpr1a
Avp	Avpr1b
Avp	Avpr2
Avp	Oxtr
Bmp1	Adra1a
Bmp10	Acvrl1
Bmp15	Bmpr1b
C4b	C3ar1
Calb1	C3ar1
Cga	Fshr
Cga	Lhcgr
Copa	Il20ra
Copa	Mtnr1b
Copa	Pdgfrb
Copa	Ptprh
Csf2	Csf2ra
Csf2	Csf2rb
Csf2	Csf3r
Csf2	Il3ra
Csf3	Csf3r
Cst3	Tgfbr2
Dkk1	Lrp5
Dkk1	Lrp6
Eda	Edar
Edn1	Ednra
Edn1	Ednrb
Efna3	Epha5
Efna5	Epha5
Efnb1	Ephb2
Efnb2	Ephb1
Egf	Egfr
Egf	Erbb2
Egf	Erbb3
Egf	Vtn
F2	Adra1b
F2	Dcc
F2	Derl1
F2	F2r
F2	F2rl1
F2	F2rl2
F2	F2rl3
F2	Gabbr1
F2	Itga2
F2	Itga2b
F2	Itga5
F2	Itgb3
F2	Itgb5
F2	Ncoa3
F2	Olfr410
F2	Olfr720
F2	Olfr926
F2	Ryr2
F2	Slc1a5
F2	Thbd
F2	Thrap3
F2	Vtn
Fasl	Fas
Fasl	Tnfrsf10b
Fasl	Tnfrsf1a
Fgf1	Fgfr1
Fgf1	Fgfr2
Fgf1	Fgfr3
Fgf1	Fgfr4
Fgf4	Fgfr3
Fgf4	Fgfr4
Fgf4	Nrp1
Fgf5	Fgfr1
Fgf5	Fgfr3
Fgf5	Fgfr4
Fgf6	Fgfr2
Fgf6	Fgfr4
Figf	Flt4
Figf	Itga9
Figf	Itgb1
Figf	Kdr
Figf	Nrp1
Figf	Nrp2
Ctgf	Erbb4
Ctgf	Itga5
Gal	Galr1
Gal	Galr2
Gal	Gpr151
Gast	Cckbr
Gdf11	Acvr1b
Gdf11	Acvr1c
Gdf11	Acvr2b
Gdnf	Gfra1
Gdnf	Gfra2
Gdnf	Ret
Ghrh	Ghrhr
Hc	C5ar1
Hcrt	H2-Aa
Hcrt	H2-Ea-ps
Hcrt	Hcrtr1
Hcrt	Hcrtr2
Hcrt	Npffr2
Hbegf	Cd44
Hbegf	Egfr
Hbegf	Erbb4
Hgf	Hpn
Hgf	Met
Hgf	Vtn
Hmgb1	Ager
Hmgb1	Ar
Hmgb1	Nr3c1
Hmgb1	Pgr
Hmgb1	Ptprz1
Ifna1	Cr2
Ifna1	Ifnar1
Ifna1	Ifnar2
Ifna2	Ifnar1
Ifna2	Ifnar2
Ifna4	Ifnar1
Ifna5	Ifnar2
Ifnb1	Ifnar1
Ifnb1	Ifnar2
Ihh	Ptch1
Ihh	Ptch2
Il10	Ifnar2
Il10	Il10ra
Il10	Il10rb
Il16	Cd4
Il16	Grin2a
Il16	Grin2b
Il16	Grin2c
Il16	Grin2d
Il17a	Il17ra
Il17a	Il17rc
Il1a	Il1r1
Il1a	Il1r2
Il1a	Il1rap
Il3	Csf2rb
Il3	Il3ra
Il5	Csf2rb
Il5	Il5ra
Inha	Acvr2a
Inha	Tgfbr3
Inhbc	Acvr1
Inhbc	Acvr1b
Inhbc	Acvr2a
Inhbc	Acvr2b
Jag2	Notch1
Jag2	Notch2
Jag2	Notch3
Lta	Ltbr
