"receptor" "pathway_id" "genes_in_cluster"
"Il6st" "mmu04550" "Acvr1,Fzd1,Fzd5"
"Il6st" "mmu04550" "Id1,Id4"
"Il6st" "mmu04550" "Fzd7,Fzd8,Tcf3"
"Il6st" "mmu04550" "Dvl3,Igf1r,Rest"
"Il6st" "mmu04630" "Il6,Jak2,Socs5,Mcl1"
"Il6st" "mmu04630" "Il3ra,Crlf2,Socs1"
"Il6st" "mmu04630" "Il4ra,Pim1"
"Il6st" "mmu04630" "Il10rb,Il11ra1"
"Il6st" "mmu04630" "Il13ra1,Stam2"
"Il6st" "mmu04630" "Il6st,Jak1"
"Il6st" "mmu04630" "Ifngr1,Stam,Sos2,Pik3r1"
"Il6st" "mmu04630" "Osmr,Stat3"
"Il6st" "mmu04630" "Lifr,Ghr,Fhl1"
"Il6st" "mmu04630" "Jak3,Stat1,Stat2,Irf9"
"Il6st" "mmu04630" "Stat5a,Pik3cd"
"Il6st" "mmu04630" "Stat5b,Aox1"
"Il6st" "mmu04630" "Stat6,Socs3"
"Il6st" "mmu04630" "Cish,Ccnd3,Cdkn1a,Pias4"
"Il6st" "mmu04630" "Socs4,Ccnd2,Ep300,Pias2,Ptpn11,Sos1,Pik3r3,Akt3"
"Il6st" "mmu04630" "Pik3r2,Akt2"
"Il6st" "mmu04630" "Akt1,Mtor"
"Il6st" "mmu05203" "Kras,Mapk1,Ywhaz,Ywhaq,Pik3ca,Pik3r3,Hnrnpk,Ddx3x,Prkacb,Usp7,Gtf2h1,Rac1"
"Il6st" "mmu05203" "Mapk3,Pxn,Hdac7"
"Il6st" "mmu05203" "Creb1,Atf2,Pik3r1,Ccnd2,Dlg1,Rbl2"
"Il6st" "mmu05203" "Atf4,Mdm2"
"Il6st" "mmu05203" "Creb3l1,Atp6v0d1"
"Il6st" "mmu05203" "Creb3l2,Crebbp,Ep300,Ubr4,Chd4"
"Il6st" "mmu05203" "Atf6b,Gtf2h4,Bad"
"Il6st" "mmu05203" "Ddb1,Casp3,Cdk2"
"Il6st" "mmu05203" "Ywhab,Ccnd1,Psmc1,Rbl1,Hdac1"
"Il6st" "mmu05203" "Ywhah,Gtf2h2"
"Il6st" "mmu05203" "Ywhag,Hdac6"
"Il6st" "mmu05203" "Jak1,Kat2b"
"Il6st" "mmu05203" "Stat3,Actn1,H2-D1,H2-K1,H2-Q4"
"Il6st" "mmu05203" "Stat5a,Pik3cd,H2-Q7,H2-T9,H2-T10"
"Il6st" "mmu05203" "Rela,Nfkb2,Egr3,Cdkn1a,Bax,Scrib,Srf"
"Il6st" "mmu05203" "Rel,Nfkbia"
"Il6st" "mmu05203" "Nfkb1,Eif2ak2"
"Il6st" "mmu05203" "Ccne1,Cdk1,Ccna2,Skp2,Mrps18b,Cdc20,Mad1l1,Ranbp1"
"Il6st" "mmu05203" "Ltbr,Ccnd3,Hdac5,H2-L"
"Il6st" "mmu05203" "Sp100,Irf9,H2-T24"
"Il6st" "mmu05203" "Prkaca,Tradd"
"Il6st" "mmu05203" "Hist1h2bg,Hist1h4i"
"Il6st" "mmu05203" "Hist1h2bk,Hist1h2bl"
"Il6st" "mmu05203" "Snw1,Ikbkg,Rhoa"
"Il6st" "mmu05203" "Gtf2h3,Traf2,Cdk4"
"Il6st" "mmu05203" "Gtf2e1,Gtf2e2,Hdac2,Cdc42"
"Il6st" "mmu05203" "Snd1,Bak1,Pkm,Kat2a"
"Il6st" "mmu05203" "Gtf2b,Gtf2a2"
"Il6st" "mmu05203" "Jak3,Irf7,H2-Q8,H2-T23"
"Il6st" "mmu05203" "Lyn,Casp8"
"Il6st" "mmu05203" "Mapkapk2,Gm7030"
"Il6st" "mmu05203" "H2-Q1,Gm11127"
"Lifr" "mmu04060" "Cxcl1,Cxcl10,Il6,Tnfrsf10b"
"Lifr" "mmu04060" "Cxcl2,Ccl2,Ccl4,Ccl3,Ccl7,Ccl8,Ccl9,Il1b,Il17ra"
"Lifr" "mmu04060" "Cxcl12,Osmr,Acvr1b,Il1r1"
"Lifr" "mmu04060" "Cxcl16,Ccl5,Cxcr4,Csf2ra"
"Lifr" "mmu04060" "Cxcl14,Vegfb"
"Lifr" "mmu04060" "Cx3cl1,Pdgfrb"
"Lifr" "mmu04060" "Ccl27a,Tnfsf13"
"Lifr" "mmu04060" "Clcf1,Tnfrsf1a"
"Lifr" "mmu04060" "Pdgfd,Vegfc,Ifngr1,Tgfbr2,Bmpr2"
"Lifr" "mmu04060" "Kitl,Acvr2a"
"Lifr" "mmu04060" "Flt3l,Il11ra1"
"Lifr" "mmu04060" "Tnfsf9,Il3ra,Crlf2"
"Lifr" "mmu04060" "Tgfb2,Bmpr1a"
"Lifr" "mmu04060" "Tgfb3,Egfr"
"Lifr" "mmu04060" "Il6ra,Il1r2"
"Lifr" "mmu04060" "Ghr,Acvr1"
"Lifr" "mmu04060" "Eda2r,Tgfbr1"
"Lifr" "mmu04550" "Lifr,Jarid2"
"Lifr" "mmu04550" "Il6st,Jak1"
"Lifr" "mmu04550" "Jak2,Klf4,Map2k1,Acvr2a,Skil,Rif1"
"Lifr" "mmu04550" "Jak3,Stat3,Acvr1b"
"Lifr" "mmu04550" "Map2k2,Id3,Dvl2"
"Lifr" "mmu04550" "Mapk1,Pik3r3,Akt3,Bmpr2,Smad5,Smad4,Gsk3b,Apc,Ctnnb1,Kras,Smarcad1,Kat6a,Setdb1,Pcgf3,Bmi1"
"Lifr" "mmu04550" "Mapk3,Mapk12"
"Lifr" "mmu04550" "Pik3r2,Akt2"
"Lifr" "mmu04550" "Pik3r1,Fzd4"
"Lifr" "mmu04550" "Smad2,Mapk14"
"Lifr" "mmu04550" "Smad3,Pcgf2"
"Lifr" "mmu04550" "Bmp2,Bmp4"
"Lifr" "mmu04550" "Bmpr1a,Fgfr1"
"Lifr" "mmu04550" "Acvr1,Fzd1,Fzd5"
"Lifr" "mmu04550" "Id1,Id4"
"Lifr" "mmu04550" "Fzd7,Fzd8,Tcf3"
"Lifr" "mmu04550" "Dvl3,Igf1r,Rest"
"Lifr" "mmu04630" "Il6,Jak2,Socs5,Mcl1"
"Lifr" "mmu04630" "Il3ra,Crlf2,Socs1"
"Lifr" "mmu04630" "Il4ra,Pim1"
"Lifr" "mmu04630" "Il10rb,Il11ra1"
"Lifr" "mmu04630" "Il13ra1,Stam2"
"Lifr" "mmu04630" "Il6st,Jak1"
"Lifr" "mmu04630" "Ifngr1,Stam,Sos2,Pik3r1"
"Lifr" "mmu04630" "Osmr,Stat3"
"Lifr" "mmu04630" "Lifr,Ghr,Fhl1"
"Lifr" "mmu04630" "Jak3,Stat1,Stat2,Irf9"
"Lifr" "mmu04630" "Stat5a,Pik3cd"
"Lifr" "mmu04630" "Stat5b,Aox1"
"Lifr" "mmu04630" "Stat6,Socs3"
"Lifr" "mmu04630" "Cish,Ccnd3,Cdkn1a,Pias4"
"Lifr" "mmu04630" "Socs4,Ccnd2,Ep300,Pias2,Ptpn11,Sos1,Pik3r3,Akt3"
"Lifr" "mmu04630" "Pik3r2,Akt2"
"Lifr" "mmu04630" "Akt1,Mtor"
"Osmr" "mmu04060" "Cxcl1,Cxcl10,Il6,Tnfrsf10b"
"Osmr" "mmu04060" "Cxcl2,Ccl2,Ccl4,Ccl3,Ccl7,Ccl8,Ccl9,Il1b,Il17ra"
"Osmr" "mmu04060" "Cxcl12,Osmr,Acvr1b,Il1r1"
"Osmr" "mmu04060" "Cxcl16,Ccl5,Cxcr4,Csf2ra"
"Osmr" "mmu04060" "Cxcl14,Vegfb"
"Osmr" "mmu04060" "Cx3cl1,Pdgfrb"
"Osmr" "mmu04060" "Ccl27a,Tnfsf13"
"Osmr" "mmu04060" "Clcf1,Tnfrsf1a"
"Osmr" "mmu04060" "Pdgfd,Vegfc,Ifngr1,Tgfbr2,Bmpr2"
"Osmr" "mmu04060" "Kitl,Acvr2a"
