"receptor" "pathway_id" "genes_in_cluster"
"Ccr1" "mmu04062" "Stat1,Stat2"
"Ccr1" "mmu04062" "Stat5b,Prex1,Pxn,Arrb1"
"Ccr1" "mmu04062" "Gnai3,Prkacb,Kras,Mapk1,Akt3,Chuk,Cdc42,Wasl,Gnb1,Gng12,Ptk2,Crk,Rap1a,Rap1b"
"Ccr1" "mmu04062" "Gnai2,Akt1,Grk6"
"Ccr1" "mmu04062" "Adcy4"
"Ccr1" "mmu04062" "Adcy6,Shc1"
"Ccr1" "mmu04062" "Prkaca"
"Ccr1" "mmu04062" "Lyn"
"Ccr1" "mmu04062" "Grb2"
"Ccr1" "mmu04062" "Nras"
"Ccr1" "mmu04062" "Raf1"
"Ccr1" "mmu04062" "Mapk3"
"Ccr1" "mmu04062" "Pik3r2,Gnb5"
"Ccr1" "mmu04062" "Akt2"
"Ccr1" "mmu04062" "Ikbkb"
"Ccr1" "mmu04062" "Ikbkg"
"Ccr1" "mmu04062" "Nfkbib,Gsk3a,Adrbk1"
"Ccr1" "mmu04062" "Rela,Gnb2,Bcar1"
"Ccr1" "mmu04062" "Gsk3b"
"Ccr1" "mmu04062" "Rac1,Rhoa"
"Ccr1" "mmu04062" "Gnb4"
"Ccr1" "mmu04062" "Gng2"
"Ccr1" "mmu04062" "Gng5"
"Ccr1" "mmu04062" "Gng10"
"Ccr1" "mmu04062" "Gng11"
"Ccr1" "mmu04062" "Gngt2"
"Ccr1" "mmu04062" "Plcb3"
"Ccr1" "mmu04062" "Prkcd"
"Ccr1" "mmu04062" "Grk5"
"Ccr3" "mmu05203" "Kras,Mapk1,Ywhaz,Ywhab,Jak1,Hnrnpk,Ddx3x,Prkacb,Usp7,Dlg1,Kat2b,Rac1"
"Ccr3" "mmu05203" "Nras"
"Ccr3" "mmu05203" "Mapk3,Ltbr,Ccnd3,Hdac7"
"Ccr3" "mmu05203" "Atf4,Mdm2"
"Ccr3" "mmu05203" "Creb3"
"Ccr3" "mmu05203" "Creb3l1"
"Ccr3" "mmu05203" "Creb3l2,Ccnd2,Chd4"
"Ccr3" "mmu05203" "Atf6b,Tradd,Gtf2h4,Bad"
"Ccr3" "mmu05203" "Ddb1"
"Ccr3" "mmu05203" "Ywhaq,Snw1,Ikbkg"
"Ccr3" "mmu05203" "Ywhae,Ccna2,Ranbp1"
"Ccr3" "mmu05203" "Ywhah,Lyn,Casp8"
"Ccr3" "mmu05203" "Ywhag,Nfkb2,Scrib,Srf"
"Ccr3" "mmu05203" "Stat3,Actn1"
"Ccr3" "mmu05203" "Stat5a,Prkaca,Snd1"
"Ccr3" "mmu05203" "Stat5b,Rela,Pxn,Hdac5"
"Ccr3" "mmu05203" "Pik3r2"
"Ccr3" "mmu05203" "Nfkb1,Traf3"
"Ccr3" "mmu05203" "Trp53,Traf2,Bak1,Pkm,Kat2a,Cdk4"
"Ccr3" "mmu05203" "Cdk2"
"Ccr3" "mmu05203" "Egr2"
"Ccr3" "mmu05203" "Vdac3,Gtf2e1,Psmc1,Rbl1,Hdac1"
"Ccr3" "mmu05203" "Sp100,Irf9,Irf7,H2-T23,H2-T9"
"Ccr3" "mmu05203" "Cdkn1a,Bax"
"Ccr3" "mmu05203" "Hist1h2bc,Cdkn1b"
"Ccr3" "mmu05203" "Grb2"
"Ccr3" "mmu05203" "Tbp,Rhoa"
"Ccr3" "mmu05203" "Tbpl1,Gtf2a2,Polb"
"Ccr3" "mmu05203" "Rbpj"
"Ccr3" "mmu05203" "Gtf2h2,Gtf2e2,Gtf2b,Hdac2,Cdc42"
"Ccr3" "mmu05203" "Gtf2h3"
"Ccr3" "mmu05203" "Ccnd1"
"Ccr3" "mmu05203" "Mrps18b,Mad1l1,Vac14"
"Ccr3" "mmu05203" "Traf5"
"Ccr3" "mmu05203" "Atp6v0d1"
"Ccr3" "mmu05203" "Irf3,Hdac10"
"Ccr3" "mmu05203" "Ubr4,Actn4"
"Ccr3" "mmu05203" "Jun"
"Ccr3" "mmu05203" "Hdac3"
"Ccr3" "mmu05203" "Hdac6"
"Ccr3" "mmu05203" "Hdac8"
"Ccr3" "mmu05203" "Dnaja3"
"Ccr3" "mmu05203" "Nfkbia"
"Ccr3" "mmu05203" "Gsn"
"Ccr3" "mmu05203" "Il6st"
"Ccr3" "mmu05203" "Mapkapk2"
"Ccr3" "mmu05203" "H2-M3"
"Ccr3" "mmu05203" "H2-T22"
"Ccr3" "mmu05203" "H2-T10"
"Ccr3" "mmu05203" "H2-D1,H2-K1,H2-Q4"
"Ccr3" "mmu05203" "Gm11127"
"Il10rb" "mmu05169" "Polr2a,Nup214,Akt1"
"Il10rb" "mmu05169" "Polr2b,Ywhaq,Gtf2e1,Snw1"
"Il10rb" "mmu05169" "Polr2c,Polr2d,Polr2h,Psmd13"
"Il10rb" "mmu05169" "Polr2j"
"Il10rb" "mmu05169" "Polr2g"
"Il10rb" "mmu05169" "Polr2i,Polr2e,Polr2f,Polr2l,Polr1c,Snd1,Psmd8,Prkaca,Csnk2b,Nfkbib"
"Il10rb" "mmu05169" "Polr3a"
"Il10rb" "mmu05169" "Polr3b,Ywhah"
"Il10rb" "mmu05169" "Polr1d"
"Il10rb" "mmu05169" "Polr3c,Psmc3,Psmd4"
"Il10rb" "mmu05169" "Polr3d"
"Il10rb" "mmu05169" "Polr3e"
"Il10rb" "mmu05169" "Polr3gl"
"Il10rb" "mmu05169" "Polr3k,Gtf2b,Gtf2e2,Hdac2,Tbpl1"
"Il10rb" "mmu05169" "Xpo1,Hspa8,Ywhaz,Ywhab,Psmc6,Usp7,Prkacb,Csnk2a1,Akt3,Chuk,Traf6,Tab2,Map3k7,Map2k4,Mapk9,Nedd4,Tbk1,Eif2ak3,Eif2ak4"
"Il10rb" "mmu05169" "Ran,Hdac1,Ccna2"
"Il10rb" "mmu05169" "H2-M3,Il10rb"
"Il10rb" "mmu05169" "H2-T22"
"Il10rb" "mmu05169" "H2-T23,H2-T9"
"Il10rb" "mmu05169" "H2-T10"
"Il10rb" "mmu05169" "H2-D1,H2-K1,H2-Q4"
